"entrez","genes","chr","start","end","strand"
"100009600","Zglp1","chr9",20872370,20874369,"-"
"100009609","Vmn2r65","chr7",92112520,92114519,"-"
"100009614","Gm10024","chr10",77172202,77174201,"+"
"100012","Oog3","chr4",143752555,143754554,"-"
"100017","Ldlrap1","chr4",134306023,134308022,"-"
"100019","Mdn1","chr4",32742094,32744093,"+"
"100033459","Pydc3","chr1",175601811,175603810,"+"
"100034251","Wfdc17","chr11",83515558,83517557,"+"
"100034361","Mfap1b","chr2",121299760,121301759,"-"
"100034684","BC100530","chr16",36367657,36369656,"-"
"100034726","Gm15772","chr11",68713137,68715136,"+"
"100034729","Gm15114","chrX",144921492,144923491,"+"
"100034739","Gm17762","chr2",17946876,17948875,"+"
"100036518","Vmn1r223","chr13",23339107,23341106,"+"
"100036521","Gm16039","chr6",8207288,8209287,"+"
"100036537","Gm11149","chr9",49324393,49326392,"+"
"100037258","Dnajc3","chr14",119335154,119337153,"+"
"100037260","9430060I03Rik","chr1",94847168,94849167,"-"
"100037262","Gm12359","chr11",98671404,98673403,"-"
"100037278","Fam129c","chr8",74119545,74121544,"+"
"100037282","Rsph3b","chr17",7152706,7154705,"-"
"100037283","Rnaset2a","chr17",8334670,8336669,"-"
"100037396","D030047H15Rik","chr7",4088529,4090528,"-"
"100038347","Fam174b","chr7",80883193,80885192,"+"
"100038358","Gm10857","chr2",6051915,6053914,"+"
"100038363","F630028O10Rik","chrX",93433265,93435264,"+"
"100038371","Zfp389","chr13",21598394,21600393,"-"
"100038394","Gm10512","chr17",13395908,13397907,"+"
"100038410","Gm10536","chr18",57093914,57095913,"+"
"100038417","Spink13","chr18",62901042,62903041,"-"
"100038454","Gm13939","chr2",109753477,109755476,"-"
"100038468","Gm10684","chr9",44943690,44945689,"-"
"100038481","Gm10510","chr17",15491426,15493425,"-"
"100038538","Gm10767","chr13",67003850,67005849,"+"
"100038554","Gm15348","chr8",12719128,12721127,"-"
"100038570","Gm11744","chr11",116512848,116514847,"+"
"100038577","Gm10790","chr13",41959284,41961283,"+"
"100038584","Gm14812","chrX",96639137,96641136,"-"
"100038595","Gm16287","chr4",138736571,138738570,"-"
"100038600","Gm11529","chr11",96325862,96327861,"-"
"100038607","Gm10636","chr3",146041909,146043908,"-"
"100038608","Gm10389","chr15",10528048,10530047,"+"
"100038617","Gm10466","chr11",24630723,24632722,"-"
"100038623","Gm10823","chr16",27848016,27850015,"+"
"100038627","F630042J09Rik","chr13",67377530,67379529,"+"
"100038628","Gm10768","chr19",43911293,43913292,"+"
"100038638","Gm10474","chrX",65931575,65933574,"-"
"100038657","7420461P10Rik","chr1",164588351,164590350,"-"
"100038666","Gm12298","chr11",66760589,66762588,"-"
"100038689","Gm10421","chr12",118389743,118391742,"-"
"100038693","Tmem51os1","chr4",141638213,141640212,"+"
"100038699","Gm10754","chr10",97429725,97431724,"-"
"100038709","Gm10789","chr16",90140482,90142481,"+"
"100038712","Gm10516","chr1",193958780,193960779,"+"
"100038718","Gm10494","chr17",79909827,79911826,"-"
"100038734","Gm10845","chr14",80268984,80270983,"-"
"100038743","Gm13629","chr2",66276937,66278936,"+"
"100038752","Gm10825","chr10",22120619,22122618,"+"
"100038847","Gm10406","chr14",7859964,7861963,"-"
"100038854","BC117090","chr16",36334419,36336418,"-"
"100038859","Olfr55","chr17",33311361,33313360,"+"
"100038860","Olfr239","chr17",33334007,33336006,"+"
"100038862","Btnl1","chr17",34512077,34514076,"+"
"100038882","Isg15","chr4",155574928,155576927,"-"
"100038909","Gm14548","chr7",3849723,3851722,"-"
"100038912","Ceacam-ps1","chr7",17242828,17244827,"-"
"100038914","Gm16387","chr7",46519905,46521904,"-"
"100038927","Gm15284","chr8",22272329,22274328,"+"
"100038941","Vmn2r121","chrX",121249520,121251519,"-"
"100038947","LOC100038947","chr3",15748437,15750436,"-"
"100038948","Mup9","chr4",60434825,60436824,"-"
"100038977","Gm1993","chrX",24997579,24999578,"-"
"100038982","Gm1995","chr12",89097798,89099797,"+"
"100038993","Gm2002","chr4",42337259,42339258,"+"
"100039008","Mup10","chr4",60595028,60597027,"-"
"100039028","Mup11","chr4",60675268,60677267,"-"
"100039030","Gm2012","chrX",26362796,26364795,"-"
"100039042","Gm2016","chr12",89110520,89112519,"+"
"100039043","Gm10731","chr3",40659204,40661203,"-"
"100039045","Gm10471","chr5",26415805,26417804,"-"
"100039052","Gm2022","chr12",89129278,89131277,"+"
"100039054","Mup12","chr4",60736154,60738153,"-"
"100039060","0610010B08Rik","chr2",176264769,176266768,"+"
"100039065","Gm2030","chrX",25737171,25739170,"-"
"100039089","Mup13","chr4",60889319,60891318,"-"
"100039109","Gm2049","chr2",175566460,175568459,"+"
"100039116","Mup14","chr4",61335129,61337128,"-"
"100039120","Gm14525","chrX",26129765,26131764,"-"
"100039133","Gm2058","chr7",46841888,46843887,"+"
"100039139","Ccdc152","chr15",3253527,3255526,"-"
"100039150","Mup15","chr4",60152731,60154730,"-"
"100039206","Mup17","chr4",61255802,61257801,"-"
"100039211","Gm10649","chr8",79424073,79426072,"-"
"100039227","Duxbl2","chr14",26936341,26938340,"+"
"100039293","Duxbl3","chr14",26800491,26802490,"+"
"100039315","Gm10436","chr12",89420339,89422338,"-"
"100039319","Gm14920","chrX",114126366,114128365,"+"
"100039348","Gm2176","chr18",80741286,80743285,"-"
"100039436","Mageb16-ps1","chrX",140990783,140992782,"-"
"100039499","Vmn1r187","chr7",5755234,5757233,"-"
"100039550","Gm10486","chrX",29128522,29130521,"+"
"100039551","Tgif2lx2","chrX",115538836,115540835,"+"
"100039574","Gm20806","chrY_random",53817455,53819454,"+"
"100039614","Gm20809","chrY_random",43340348,43342347,"+"
"100039624","Gm12166","chr11",45865113,45867112,"-"
"100039641","E330012B07Rik","chr6",147126763,147128762,"+"
"100039672","Msmp","chr4",43597367,43599366,"-"
"100039684","5031434O11Rik","chr3",51361679,51363678,"+"
"100039707","Gm2382","chr9",88614412,88616411,"-"
"100039727","1700049E15Rik","chr6",147636763,147638762,"+"
"100039753","Gm20815","chrY_random",54418149,54420148,"+"
"100039781","Hrct1","chr4",43738070,43740069,"+"
"100039795","Ildr2","chr1",168182270,168184269,"+"
"100039796","Tgtp2","chr11",48805757,48807756,"-"
"100039801","Cldn24","chr8",48905497,48907496,"+"
"100039805","D5Ertd605e","chr5",148228196,148230195,"+"
"100039810","Gm20816","chrY_random",3557698,3559697,"+"
"100039863","Gm13306","chr4",42351114,42353113,"-"
"100039864","Snhg12","chr4",131862593,131864592,"+"
"100039890","Gm15093","chrX",144244643,144246642,"+"
"100039913","Rhox2b","chrX",34824612,34826611,"+"
"100039934","Gm15085","chrX",144613267,144615266,"+"
"100039939","Gm2506","chr4",42026815,42028814,"+"
"100039948","Rhox2c","chrX",34866166,34868165,"+"
